ShowName,SeasonNo,EpisodeNo,EpisodeName
Family Guy,12,7,Into Harmony's Way
Family Guy,12,8,Christmas Guy
Family Guy,12,9,Peter Problems
Family Guy,12,10,Grimm Job
Family Guy,12,11,Brian's a Bad Father
Family Guy,12,12,Mom's the Word
Family Guy,12,13,3 Acts of God
Family Guy,12,14,Fresh Heir
Family Guy,12,15,Secondhand Spoke
Family Guy,12,16,Herpe the Love Sore
Family Guy,12,17,The Most Interesting Man in the World
Family Guy,12,18,Baby Got Black
Family Guy,12,19,Meg Stinks!
Family Guy,12,20,He's Bla-ack!
Family Guy,12,21,Chap Stewie
Family Guy,13,1,The Simpsons Guy
Family Guy,13,2,The Book of Joe
Family Guy,13,3,Baking Bad
Family Guy,13,4,Brian the Closer
Family Guy,13,5,Turkey Guys
Family Guy,13,6,The 2000-Year-Old Virgin
Family Guy,13,7,"Stewie, Chris, & Brian's Excellent Adventure"
Family Guy,13,8,Our Idiot Brian
Family Guy,13,9,This Little Piggy
Family Guy,13,10,Quagmire's Mom
Family Guy,13,11,Encyclopedia Griffin
Family Guy,13,12,Stewie Is Enceinte
Family Guy,13,13,Dr. C and the Women
Family Guy,13,14,#JOLO
Family Guy,13,15,Once Bitten
Family Guy,13,16,Roasted Guy
Family Guy,13,17,Fighting Irish
Family Guy,13,18,Take My Wife
Family Guy,14,1,Pilling Them Softly
Family Guy,14,2,Papa Has a Rollin' Son
Family Guy,14,3,"Guy, Robot"
Family Guy,14,4,Peternormal Activity
Family Guy,14,5,"Peter, Chris & Brian"
Family Guy,14,6,Peter's Sister
Family Guy,14,7,Hot Pocket-Dial
Family Guy,14,8,Brokeback Swanson
Family Guy,14,9,A Shot in the Dark
Family Guy,14,10,"Candy, Quahog Marshmallow"
Family Guy,14,11,The Peanut Butter Kid
Family Guy,14,12,Scammed Yankees
Family Guy,14,13,An App a Day
Family Guy,14,14,Underage Peter
Family Guy,14,15,A Lot Going on Upstairs
Family Guy,14,16,The Heartbreak Dog
Family Guy,14,17,Take a Letter
Family Guy,14,18,The New Adventures of Old Tom
Family Guy,14,19,"Run, Chris, Run"
Family Guy,14,20,Road to India
Family Guy,15,1,The Boys in the Band
Family Guy,15,2,Bookie of the Year
Family Guy,15,3,American Gigg-olo
Family Guy,15,4,Inside Family Guy
Family Guy,15,5,"Chris Has Got a Date, Date, Date, Date, Date"
Family Guy,15,6,Hot Shots
Family Guy,15,7,High School English
Family Guy,15,8,Carter and Tricia
Family Guy,15,9,How the Griffin Stole Christmas
Family Guy,15,10,Passenger Fatty-Seven
Family Guy,15,11,Gronkowsbees
Family Guy,15,12,Peter's Def Jam
Family Guy,15,13,The Finer Strings
Family Guy,15,14,The Dating Game
Family Guy,15,15,Cop and a Half-wit
Family Guy,15,16,Saturated Fat Guy
Family Guy,15,17,Peter's Lost Youth
Family Guy,15,18,The Peter Principal
Family Guy,15,19,Dearly Deported
Family Guy,15,20,A House Full of Peters
Family Guy,16,1,Emmy-Winning Episode
Family Guy,16,2,Foxx in the Men House
Family Guy,16,3,Nanny Goats
Family Guy,16,4,Follow the Money
Family Guy,16,5,Three Directors
Family Guy,16,6,The D in Apartment 23
Family Guy,16,7,Petey IV
Family Guy,16,8,Crimes and Meg's Demeanor
Family Guy,16,9,Don't Be a Dickens at Christmas
Family Guy,16,10,Boy (Dog) Meets Girl (Dog)
Family Guy,16,11,Dog Bites Bear
Family Guy,16,12,"Send in Stewie, Please"
Family Guy,16,13,V Is for Mystery
Family Guy,16,14,Veteran Guy
Family Guy,16,15,The Woof of Wall Street
Family Guy,16,16,Family Guy Through the Years
Family Guy,16,17,Switch the Flip
Family Guy,16,18,HTTPete
Family Guy,16,19,The Unkindest Cut
Family Guy,16,20,"Are You There God? It's Me, Peter"
Family Guy,17,1,Married... with Cancer
Family Guy,17,2,Dead Dog Walking
Family Guy,17,3,Pal Stewie
Family Guy,17,4,Big Trouble in Little Quahog
Family Guy,17,5,Regarding Carter
Family Guy,17,6,Stand by Meg
Family Guy,17,7,Griffin Winter Games
Family Guy,17,8,Con Heiress
Family Guy,17,9,Pawtucket Pete
Family Guy,17,10,Hefty Shades of Gray
Family Guy,17,11,Trump Guy
Family Guy,17,12,"Bri, Robot"
Family Guy,17,13,Trans-Fat
Family Guy,17,14,Family Guy Lite
Family Guy,17,15,"No Giggity, No Doubt"
Family Guy,17,16,You Can't Handle the Booth!
Family Guy,17,17,Island Adventure
Family Guy,17,18,Throw It Away
Family Guy,17,19,"Girl, Internetted"
Family Guy,17,20,Adam West High
Family Guy,18,1,Yacht Rocky
Family Guy,18,2,Bri-Da
Family Guy,18,3,Absolutely Babulous
Family Guy,18,4,Disney's The Reboot
Family Guy,18,5,Cat Fight
Family Guy,18,6,Peter & Lois' Wedding
Family Guy,18,7,Heart Burn
Family Guy,18,8,Shanksgiving
Family Guy,18,9,Christmas Is Coming
Family Guy,18,10,Connie's Celica
Family Guy,18,11,Short Cuts
Family Guy,18,12,Undergrounded
Family Guy,18,13,Rich Old Stewie
Family Guy,18,14,The Movement
Family Guy,18,15,Baby Stewie
Family Guy,18,16,Start Me Up
Family Guy,18,17,Coma Guy
Family Guy,18,18,Better Off Meg
Family Guy,18,19,Holly Bibble
Family Guy,18,20,Movin' In (Principal Shepherd's Song)
Family Guy,19,1,Stewie's First Word
Family Guy,19,2,The Talented Mr. Stewie
Family Guy,19,3,Boys & Squirrels
Family Guy,19,4,Cutawayland
Family Guy,19,5,La Famiglia Guy
Family Guy,19,6,Meg's Wedding
Family Guy,19,7,Wild Wild West
Family Guy,19,8,Pawtucket Pat
Family Guy,19,9,The First No L
Family Guy,19,10,Fecal Matters
Family Guy,19,11,Boy's Best Friend
Family Guy,19,12,And Then There's Fraud
Family Guy,19,13,PeTerminator
Family Guy,19,14,The Marrying Kind
Family Guy,19,15,Customer of the Week
Family Guy,19,16,Who's Brian Now?
Family Guy,19,17,Young Parent Trap
Family Guy,19,18,Meg Goes to College
Family Guy,19,19,Family Cat
Family Guy,19,20,Tales of Former Sports Glory
Family Guy,20,1,LASIK Instinct
Family Guy,20,2,Rock Hard
Family Guy,20,3,Must Love Dogs
